"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNFRSF18",11.7383728201722,-0.0702124003718093,0.179210080865585,-0.391788229951592,0.695214692385988,0.999981087338227
"TNFRSF4",5.14443565696974,0.0758641685026291,0.19870662102819,0.381789837248888,0.702617257500777,0.999981087338227
"SDF4",26.867470720591,0.0460182997602731,0.103667258939832,0.443903892423564,0.657112070248116,0.999981087338227
"B3GALT6",6.31924054301613,-0.0699091666413289,0.170784115600586,-0.409342323174984,0.682288460159552,0.999981087338227
"C1QTNF12",0.0864097443335418,-0.551370719284955,1.25175869194448,-0.440476844964789,0.659591779171993,NA
"AL162741.1",0.0541873807785627,0.0126677953228051,1.49411150430858,0.00847848054597993,0.993235232320532,NA
"UBE2J2",9.77091524765418,-0.0212533761110105,0.147911518304544,-0.143689797485891,0.885745428017177,0.999981087338227
"LINC01786",0.041856621851324,-0.131204839083693,1.49365053748296,-0.0878417245474261,0.930002474526944,NA
"SCNN1D",0.117947812474531,-0.385137352841387,1.19187902844086,-0.323134599779978,0.74659330779442,NA
"ACAP3",2.56103903343487,0.0481926332477171,0.202362742779483,0.238149733423179,0.811764962448072,0.999981087338227
"PUSL1",2.91009319785418,-0.0998928741309654,0.230346575907346,-0.433663377619062,0.664532904414181,0.999981087338227
"INTS11",13.295158063924,0.0930850230780464,0.088702122396658,1.04941145220617,0.293988789616827,0.999981087338227
"AL139287.1",0.0411170889455163,0.11675989932952,1.49644504378509,0.0780248495021169,0.93780828620122,NA
"CPTP",1.59725279257624,0.0827357269162732,0.264705340538111,0.312557830333466,0.754616620429476,0.999981087338227
"TAS1R3",0,NA,NA,NA,NA,NA
"DVL1",2.25559299693629,-0.215223865446037,0.234575592519932,-0.917503236948017,0.358878997492954,0.999981087338227
"MXRA8",0.133898505474864,-0.280423162036573,0.799025105330889,-0.350956634736082,0.725620882034767,0.999981087338227
"AURKAIP1",25.4666566357699,0.128912393550052,0.0672563741820938,1.91673124098286,0.0552720841865345,0.999981087338227
"CCNL2",8.52349066908508,-0.126324846488248,0.11561072627525,-1.092674101774,0.274536914587608,0.999981087338227
"MRPL20-AS1",2.24920946288492,-0.0444570183656914,0.257614459054926,-0.172571906595556,0.862987935834793,0.999981087338227
"MRPL20",22.2510069732031,0.0415921915583016,0.0780949709606648,0.53258476245866,0.594321052324967,0.999981087338227
"AL391244.2",0,NA,NA,NA,NA,NA
"ANKRD65",0.0264657706799261,-0.371313570540621,1.49181407622219,-0.248900701809249,0.803437592413941,NA
"AL391244.1",0,NA,NA,NA,NA,NA
"TMEM88B",0,NA,NA,NA,NA,NA
"LINC01770",0,NA,NA,NA,NA,NA
"VWA1",0.125176714427723,-0.391989626121578,1.46545588841885,-0.267486472448185,0.789094628271886,NA
"ATAD3C",0.910332755946459,0.44175012272196,0.341874250909874,1.29214212988042,0.196307928229649,0.999981087338227
"ATAD3B",3.29072496496737,-0.176045443781878,0.243700050549672,-0.722385749961081,0.470057345567395,0.999981087338227
"ATAD3A",2.61587422491649,-0.20204012307988,0.19042744422838,-1.06098217039332,0.288698004038535,0.999981087338227
"TMEM240",0.11194382908776,-0.276896902420721,1.49229687392089,-0.185550815832775,0.852797026902921,NA
"SSU72",25.782517112645,0.0294617893184667,0.0703454854264975,0.418815637419273,0.675350875603934,0.999981087338227
"AL645728.1",2.8477585918357,0.432901193308181,0.251602261612422,1.72057751203779,0.0853275170600496,0.999981087338227
"FNDC10",0.652088559047837,-0.19789187791596,0.353632708286858,-0.559597212810516,0.575754206427367,0.999981087338227
"AL691432.4",0.0138556783569686,-0.0775611651765587,1.49560920346746,-0.051859245715217,0.958640847761534,NA
"AL691432.2",0.65622107433545,-0.490068241291004,0.433551148149391,-1.13035853643303,0.258325178190831,0.999981087338227
"MIB2",14.0333456191724,0.10890363593912,0.0946972510719177,1.15001897844334,0.250136054659984,0.999981087338227
"MMP23B",3.57039756316001,0.00579973891486644,0.163436852770556,0.035486114768794,0.971692118212104,0.999981087338227
"CDK11B",13.5228518374767,0.00368157797341912,0.124852615739538,0.029487391606592,0.97647587461054,0.999981087338227
"FO704657.1",0.340904715210302,0.219861484323262,0.645995257350945,0.340345353656087,0.733596466230683,0.999981087338227
"SLC35E2B",4.89914833360435,-0.0228589285857322,0.167605899202507,-0.136384988204462,0.891516940464913,0.999981087338227
"CDK11A",10.1793681751326,0.0767908431432599,0.113420618692462,0.67704482684473,0.498377513241946,0.999981087338227
"SLC35E2A",2.63877829632505,-0.0614179963408497,0.231720932338324,-0.265051567508697,0.79096973679902,0.999981087338227
"NADK",5.74455583545768,-0.212694340446145,0.146007218008281,-1.45673853215998,0.145188569091709,0.999981087338227
"GNB1",46.1363719472022,-0.169414155592976,0.0557180881909744,-3.04055937835317,0.00236139124336029,0.521803643397668
"AL109917.1",0.122812951199204,0.373308279688478,0.971208656703528,0.384374950853053,0.700700563544879,NA
"CALML6",0.0280009434943554,-0.0921192334148848,1.49511643058734,-0.0616134178785639,0.950870691323346,NA
"TMEM52",0.142924638588856,-0.160493319149718,1.13985630032361,-0.14080136163142,0.888026867356791,0.999981087338227
"CFAP74",0.013232885339963,-0.245311124044402,1.49348411249627,-0.164254257539024,0.869530989730175,NA
"AL391845.2",0,NA,NA,NA,NA,NA
"GABRD",0.0785898261398322,-0.276896903820353,1.49229687388495,-0.185550816775148,0.852797026163849,NA
"AL391845.1",0.0379357732855707,-0.0921192334148848,1.49511643058734,-0.0616134178785639,0.950870691323346,NA
"PRKCZ",6.66434002327509,0.00712406689764824,0.125131011299105,0.0569328643929787,0.954598674761298,0.999981087338227
"AL590822.2",0.0379357732855707,-0.0921192334148848,1.49511643058734,-0.0616134178785639,0.950870691323346,NA
"PRKCZ-AS1",0.0910365008759816,-0.207344474766234,1.27392474398549,-0.162760379484862,0.870707104802035,NA
"FAAP20",17.512342638656,0.111190871547135,0.0834605507405661,1.33225662376429,0.182775875455033,0.999981087338227
"AL590822.1",0.298910496452464,-0.625878956630815,0.735033664478792,-0.851496995140517,0.394493331802271,0.999981087338227
"SKI",10.5146585879498,-0.252342395710692,0.17610257697659,-1.43292846727755,0.151878280933721,0.999981087338227
"AL590822.3",0.0781414625577054,0.432468966994242,1.2983913774831,0.333080590717241,0.739073450045794,NA
"MORN1",0.982169174927252,0.0998167951562529,0.327488578337231,0.304794737157113,0.760522490074422,0.999981087338227
"AL589739.1",0,NA,NA,NA,NA,NA
"AL513477.2",0,NA,NA,NA,NA,NA
"RER1",21.1099360934299,0.104561617234687,0.0783238967341513,1.33498997872376,0.181879626351685,0.999981087338227
"PEX10",1.93316324573624,-0.0374048476031839,0.227852422999973,-0.164162606263741,0.869603137569036,0.999981087338227
"PLCH2",3.64547925538319,-0.113926212726927,0.220448258431806,-0.516793435055282,0.605300363319724,0.999981087338227
"AL139246.1",0,NA,NA,NA,NA,NA
"AL139246.4",0.0280009434943554,-0.0921192334148848,1.49511643058734,-0.0616134178785639,0.950870691323346,NA
"PANK4",2.18099062185508,0.0387296767473987,0.234089648336005,0.16544805386613,0.868591333273436,0.999981087338227
"HES5",0.123016909060442,-0.536425855566287,1.15967210632062,-0.46256683474801,0.643674885670216,NA
"AL139246.5",7.8043593997906,0.345343015567373,0.149728763940534,2.3064573998923,0.0210850878536823,0.999981087338227
"TNFRSF14-AS1",2.61810639915774,0.0115497683059613,0.212823769261443,0.0542691652630822,0.956720715892608,0.999981087338227
"TNFRSF14",23.8687717803917,-0.0413968897124004,0.0845149358371115,-0.489817442353457,0.624263086919476,0.999981087338227
"AL139246.3",0.408990425942087,-0.854801025835273,0.523806470787389,-1.6319023790415,0.10270005279203,0.999981087338227
"PRXL2B",1.63563927599641,0.254654752567941,0.296748733165123,0.858149417696894,0.390809962604403,0.999981087338227
"MMEL1",0.149933777405277,-0.265885023771187,1.1551554831788,-0.23017249854497,0.817957731144346,0.999981087338227
"AL831784.1",0,NA,NA,NA,NA,NA
"TTC34",0.0836789729401648,0.263850592744046,1.27925256852283,0.206253713485772,0.836592732411613,NA
"AC242022.2",0,NA,NA,NA,NA,NA
"AC242022.1",0,NA,NA,NA,NA,NA
"AL592464.2",0,NA,NA,NA,NA,NA
"AL592464.3",0,NA,NA,NA,NA,NA
"AL592464.1",0,NA,NA,NA,NA,NA
"AL589702.1",0,NA,NA,NA,NA,NA
"ACTRT2",0,NA,NA,NA,NA,NA
"PRDM16-DT",0.013232885339963,-0.245311124044402,1.49348411249627,-0.164254257539024,0.869530989730175,NA
"PRDM16",0.174185475250954,-0.809631763215251,1.0866657391688,-0.74506054072759,0.456235122018544,0.999981087338227
"AL008733.1",0,NA,NA,NA,NA,NA
"AL590438.1",0,NA,NA,NA,NA,NA
"AL354743.2",0,NA,NA,NA,NA,NA
